Feature,Cramér's V
CRn-4,0.2607735287893214
WCRn-4,0.25569907093088057
PBVn-2,0.25325884582848474
QRn-4,0.24519678296840425
DERn-1,0.23094300999643785
QRn-2,0.22043585353077436
WCRn-3,0.2160800147649859
QRn-1,0.21579498966783
PTBVn-1,0.2038743683917696
PBVn-1,0.1967800434645914
DERn-3,0.19361472395249066
PBVn-4,0.19084006905641543
PTBVn-2,0.18360253811638372
CRn-3,0.18328261637906845
PTBVn-4,0.1733147201145293
QRn-3,0.16625893607570189
WCRn-1,0.15932466583035906
WCRn-2,0.15517724323596377
CRn-2,0.1521512639753233
CRn-1,0.14190375386084433
PTBVn-3,0.06646092218735052
DERn-4,0.018466662749582457
DERn-2,0.0
PBVn-3,0.0
